comment,sentiment
❤️🙌🔥🔥👏,positive
"Please boycott and suspend all your Israeli contacts, marketing and services until the war has stop     Dont be ignorant and complicit while part of your revenue is generated in Israel, in the form of Israeli state taxes, fees etc. Its going to the Israeli army whos killing civilians indiscriminately and deliberately    Please use your voice to stop the Israeli invasion of Palestine  and you can even donate to keep the Palestinian civilians safe 🇵🇸      🇵🇸  .on.palestine",negative
❤️🙌🔥👏,positive
🔥🔥🔥,positive
Great 🔥🙌,positive
🔥🔥🔥🔥🔥,positive
🙌❤️,positive
❤️,positive
Respect,neutral
 check dm my order was cancelled and it was charged for it,negative
whaaaat? el que les da los helados es Jordi Roca??? 😍,positive
🔥🔥❤️❤️,positive
❤️🙌🔥,positive
Dove?,neutral
❤️,positive
Dope style 🔥🙌,positive
😍😍😍😍,positive
😍😍😍,positive
❤️😍,positive
❤️,positive
⭐️⭐️⭐️,positive
.bellotti ❤️,positive
💯,neutral
❤️🙌🔥👏,positive
🔥🔥🔥,positive
😍 vibes were high - never just a dj,positive
🔥🔥,positive
Dope style 🔥🙌,positive
❤️🔥👏😢,neutral
😍😍🔥,positive
🙏🏾🙏🏾,positive
😍😍,positive
🫶🏽🫶🏽,neutral
😤😤😤😤,negative
👏🏾  🔥,positive
 check dm regarding my order. Order was canceled but my card was charged for it,neutral
   🔥🎶,neutral
Dopee style 🔥🙌,positive
❤️🙌🙌🔥,positive
❤️🙌🔥,positive
🔥,positive
❤️❤️,positive
👏👏👏,positive
🖤,neutral
love ya,positive
❤️🙌🔥👏😢,positive
Where is the green bag from?,neutral
Stunning 😍😍😍,positive
😍😍😍,positive
😍😍,positive
Adoro,positive
❤️,positive
❤️❤️❤️❤️,positive
❤️❤️,positive
Merhaba pull&bear,neutral
Parece el cátalo del venca de ,neutral
😍,positive
😍😍,positive
😍❤️❤️❤️🔥🔥,positive
Me gustan.,positive
 💕,positive
❤️,positive
❤️,positive
💖💖,positive
❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,positive
Love it,positive
Vibes 🔥🙌,positive
❤️🙌🙌🔥👏,positive
💕💖💕💖,positive
🔥🔥,positive
🇵🇸🇵🇸🇵🇸,neutral
🔥,positive
🫶🏻🫶🏻🫶🏻,neutral
😍🔥🔥,positive
💕💕💕💕💕,positive
🔥🔥,positive
Zeynep❤️,positive
Ppl quickly forget ,negative
zeynep🙌,positive
😂😂,neutral
.denizkose perfect…..🔥,positive
.denizkose 😍🔥,positive
🇹🇷❤️ .denizkose,positive
.denizkose is here too,neutral
dammmmm,neutral
Great Outfit 🙌,positive
"I returned two items because they were wrongfully advertised regarding size and you took the items, and also my money. So I basically gifted you guys your own merch. 🗑️",negative
👏👏👏,positive
 are you ready for PS ? ✨,neutral
😍😍,positive
WOW 🔥🔥😍,positive
.,neutral
🏳️‍🌈🏳️‍⚧️🕊️,neutral
😢👏🔥❤️,positive
😍,positive
😍,positive
😍🔥,positive
Omggggggggggg,positive
👏👏👏,positive
😃 💕💖 Francesca,positive
❤❤,positive
Topp,neutral
🤍🩷🤍🩷🤍🩷🤍🩷,neutral
🔥🔥🔥,positive
🔥🔥🔥,positive
❤️,positive
😍,positive
🩷,neutral
🙌🙌,positive
😍,positive
Por qué no van a transmitir la presentación de Lana Del Rey? 😢,negative
Where can we get this,neutral
❤️🙌🔥👏👏,positive
😍😍,positive
hasta que hora estaran los puestos de merchandising de los artistas del viernes si es que traen? gracias,neutral
No he visto en web las pinzas flor de colores🧐,neutral
Clean 🔥🙌,positive
👏👏👏,positive
🔥🔥❤️🙌,positive
🔥🔥🔥,positive
❤️❤️❤️❤️❤️,positive
🌸🌸🌸,positive
💖💖💖,positive
💘✨,positive
❤️,positive
❤️,positive
😍😍,positive
yeeeeeeesss,positive
Palestina Will be free,neutral
🎫🍧🍧🍧🌸,neutral
Hola! Donde se puede reportar a la gerente de la tienda de Oasis Coyoacán?,neutral
😮😮😮,neutral
okaaaaay 🔥🫐🍦,neutral
"Hola, de nuevo donde se reporta a la Gerente de Oasis Coyoacán CDMX?",neutral
Ñam,neutral
Dope style 🔥🙌,positive
Wow 😮,neutral
Sois una pasada ! ❤️,positive
🔥🔥,positive
🍦🍦🍦,neutral
😍😍😍,positive
❤️❤️,positive
"Pésima atención de Pull and bear Galerias Hermosillo, los empleados te agreden con groserías 😰",negative
😮‍💨😮‍💨😮‍💨🤤🤤🤤,neutral
Im in shock. Tell me what to do with the money. I dont know where to spend it.,neutral
Nice 😍,positive
😍🔥 vaooo,positive
❤️,positive
Quiero ir ❤️🙌🔥,positive
Hola! Donde se puede reportar a la gerente de Oasis Coyoacán?,neutral
"Pésimo servicio de los trabajadores de pull and bear Galerias mall Hermosillo 🥲 te insultan con groserías, no vuelvo 🙅🏻‍♀️",negative
Holaa i’m going alone mainly to see Lana if anyone wants to join me we can meet and go together 😊😊,positive
🙌❤️🔥,positive
❤️❤️❤️,positive
👏👏❤️❤️ super,positive
"Se venden dos entradas para el concierto de hoy en Paral.lel  (El Mató a un Policía Motorizado). Interesados, DM 🙃",neutral
🦋,positive
❤️‍🩹❤️‍🩹,positive
Magnificent,positive
💗💗💗,positive
🌷,positive
Anyone looking for an accommodation? I have a room available from th to rd!,neutral
"Would be a wonderful show,sad Im missing.who want my tixs though😙",neutral
💙💙,positive
"Mis  pases están en marcha, si quieres llevártelos, puedo hacerlo barato, gracias.",neutral
🚀🚀🚀,positive
"Decisión de último minuto, mis entradas están a la venta, primer nivel 🙏, ¿alguien está interesado, por favor?",neutral
 entradas - a la venta,neutral
Vendo  abono por €!!,neutral
"Vendo  entradas vip para el  de mayo,  cada uno",neutral
 🌸🌸🌸🌸🌸,positive
"Hi  Kindly open a store in Mumbai, India we need one soon!! Varsha",neutral
Omg ❤️,positive
❤️❤️❤️❤️❤️,positive
🌸🌸🌸🌸,positive
So cute,positive
🍉🍉🍉,positive
🩵🌹 NGOPP’ ‘O PALCO CE STA’ LIBERATO,neutral
Cute 🌸✨,positive
😍👏,positive
Amo 🌸,positive
❤️,positive
😍🌸,positive
"Hola que tal disculpen ustedes patrocinan, tengo un evento internacional donde vendrán equipos de (cuba, r.d., guatemala, el salvador, Panamá, uruguay, chile, switzeland,new zelanda e México) sera un mundial que se llevara acabo en el ipejal TLAQUEPAQUE gdl jalisco el evento es en septiembre ....! Vienen academias , grupos, escuelas (primarias, cqs, prepas) de toda la república mexicana",neutral
🌹🌺💐🌸🌷🌻🌼🪷,positive
🌸,positive
❤️❤️❤️,positive
😍😍,positive
🩵🩷🪻🌸🌷🪷,neutral
🌺🌼🍒,positive
🎁🩷,neutral
How come I cant change the shipping address to Canada?,neutral
زیبا 👏🔥,positive
🔥❤️🙌🔥👏,positive
😍love your clothing,positive
But México ?,neutral
🩵🩵🩵,neutral
😍,positive
🫂🧸,positive
😍😍😍,positive
🩵💛🩷,neutral
❤❤❤❤,positive
Unbelievable,positive
Magnificent,positive
❤️🧡💛,positive
😍😍😍,positive
 hola!! la  blusa de la quinta foto a juego con el pantalón está ya disponible??,neutral
OUR GIRL LINDA❤️‍🔥❤️‍🔥❤️‍🔥,positive
😍😍😍,positive
love you girlies🩷🩷,positive
😍😍😍,positive
😍😍😍,positive
❤️❤️❤️❤️❤️,positive
Love this 💕💕💕,positive
Yay! ❤️ love everything about this 🥹 you go Linda!!!🎀💖,positive
Best girlies💘,positive
😍😍,positive
🔥🔥🔥,positive
Queens💗🔥,positive
Uauuuuu 👏🏻👏🏻👏🏻👏🏻👏🏻,positive
in love 🤍🍓,positive
😍😍💗💗💗💗,positive
❤️😍,positive
😍😍😍,positive
🧡🧡,positive
❤️,positive
Love Linda gorgeous🫧😍💗💗💗 .sza,positive
 so cooool 👏,positive
obsessed 💘🫶🏻,positive
#👏🏼,positive
Es increíble que sus ropas son solo como para modelos flacas y altas ! No para todos los cuerpos 🫠🫠🫠🫠,negative
Style 🔥🙌,positive
🙌,positive
😍,positive
😍🇵🇹,positive
Portooo ajajaja  nuestros desayunitos 🧡🧡🧡,positive
Im in love 😍,positive
🍒🌟,positive
Hello I love your Pull&Bear slip on clog with backstrap in black but it appears that the largest size is  uk😢 can you make it in size ?😢,negative
"Cuanto más lo veo, más me gusta!😍",positive
incredible work!!!!,positive
Nice handbag 🔥🙌,positive
Please check ur dms 💌,neutral
Un diseño muy original!!😍😍,positive
🤩🍒✨,positive
❤️🔥😍,positive
Вишенка на торте🍒,positive
🔥,neutral
😍,positive
"Precioso ,dale un beso de mi parte",positive
Te superaste amiga 😍  te quedó increíble 🩷💐,positive
We love your visuals  👏,positive
 ❤️❤️❤️❤️,positive
SO BEAUTIFUL!  amazing work as always 🩷,positive
You are amazing ,positive
"Oğlum, bu markanın İzmir’de ki bir mağazasından bir pantolon ve bir tişört aldı. Yıkamadan giyilmeyeceği üzere, ilk yıkamada tişört delindi ve fazlasıyla geniş olan pantolon sanki güneşte kalıp yıpranmış gibi arka kısmı deforme oldu. Terzi vasıtasıyla onarım yapmaya çalıştık ancak kumaş bir hayli yıpranmış dikiş dahi tutmadı. Yıkandığı için değişim ve iadede ne derece yardımcı olunacağı bilgisi konusunda hiç bir fikrim yok. Fazlasıyla hayal kırıklığı 🤦‍♀️🤦‍♀️🤦‍♀️",negative
Nathan_koudjo,neutral
Magnificent 🔥🙌,positive
For Ferrari ❤️❤️,positive
Kırmızı olsun  kuruş fazla olsun ❤️,positive
Llevo un mes y medio esperando un reembolso con largas y estoy empezando a cansarme.,negative
Slay 🔥,positive
❤️,positive
👏👏👏👏👏❤️❤️❤️,positive
Pınar Deniz ??,neutral
🤍🤍🤍,positive
Song?,neutral
❤️,positive
💫💫💫,positive
