post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments,sentiment_analysis
3393934162782271347,2024-06-19 14:48:22,"from the streets of lisbon the trends seen on our girls🌺🤳🏼🍧

#stradivarius #stradilooks",from the streets of lisbon the trends seen on our girls🌺🤳🏼🍧   ,5755,"['Cuál es el código de esta remera?', 'Cuando empiezan las rebajas?', 'cute💓', 'Cuando comienzan las rebajas en la App?', '❤️', 'Love the first outfit so much 🌈', 'Love love love!', '😍😍', '😍😍😍', '🔥🔥❤️❤️', '👏🏻👏🏻👏🏻😍', '❤️❤️', 'Que ropa son sentido', '❤️', '💘🌞', '💘💘💘', 'First photo is like  Poland in 2006 year, Poznań, Jeżyce market 😁', 'Últimamente solo veo ropa para adolescentes. Tops y camisetas super cortas y estrechas. Pantalones o bermudas súper anchos y falditas o vestidos super cortos y para niñas lápiz.🤔']","['Cuál es el código de esta remera?', 'Cuando empiezan las rebajas?', 'cute💓', 'Cuando comienzan las rebajas en la App?', '❤️', 'Love the first outfit so much 🌈', 'Love love love!', '😍😍', '😍😍😍', '🔥🔥❤️❤️', '👏🏻👏🏻👏🏻😍', '❤️❤️', 'Que ropa son sentido', '❤️', '💘🌞', '💘💘💘', 'First photo is like  Poland in  year, Poznań, Jeżyce market 😁', 'Últimamente solo veo ropa para adolescentes. Tops y camisetas super cortas y estrechas. Pantalones o bermudas súper anchos y falditas o vestidos super cortos y para niñas lápiz.🤔']","['neutral', 'neutral', 'positive', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'negative']"
3393247324891397220,2024-06-18 16:03:44,"the perfect summer glow🍧🍦💓

#stradivarius #stradilooks",the perfect summer glow🍧🍦💓   ,4536,"['Quero 🍀', 'Cute 😍', '😍😍😍', 'Too cute 🤎', 'And the pink pants 😍', 'מה האינסטגרם של הדוגמנית?', '🔥🔥❤️❤️❤️', 'Nice ❤️', '\U0001fa75🌸']","['Quero 🍀', 'Cute 😍', '😍😍😍', 'Too cute 🤎', 'And the pink pants 😍', 'מה האינסטגרם של הדוגמנית?', '🔥🔥❤️❤️❤️', 'Nice ❤️', '\U0001fa75🌸']","['neutral', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'neutral']"
3392541779213435207,2024-06-17 16:44:08,"discover what’s inside🔎🐆

#stradivarius #stradilooks",discover what’s inside🔎🐆   ,3356,"['Ya no hay 😢', 'Precio por favor', 'Me encantan que precio tienen?', 'Is the quality the same as the pink ones? Those where pretty bad 😅🤭', 'Información', 'Ideales😍😍😍', '😍😍😍', 'the order I have placed has been delayed for a week from the date of receipt and they have not given me any answer as to what is happening. unacceptable', 'Wow 💛', '😢', '🤩🐆\U0001faf6🏼\U0001faf6🏼', '😍😍😍', 'stradivarius girly right here \U0001fae7🤍', 'NEW SS24', 'El servicio post venta pesimo. Llevo días esperando una compra y nada.', '@luzuno ya viste 🥰']","['Ya no hay 😢', 'Precio por favor', 'Me encantan que precio tienen?', 'Is the quality the same as the pink ones? Those where pretty bad 😅🤭', 'Información', 'Ideales😍😍😍', '😍😍😍', 'the order I have placed has been delayed for a week from the date of receipt and they have not given me any answer as to what is happening. unacceptable', 'Wow 💛', '😢', '🤩🐆\U0001faf6🏼\U0001faf6🏼', '😍😍😍', 'stradivarius girly right here \U0001fae7🤍', 'NEW SS', 'El servicio post venta pesimo. Llevo días esperando una compra y nada.', ' ya viste 🥰']","['negative', 'neutral', 'neutral', 'negative', 'neutral', 'positive', 'positive', 'negative', 'positive', 'negative', 'positive', 'positive', 'neutral', 'neutral', 'negative', 'positive']"
3391890991457839742,2024-06-16 19:09:55,"one for every occasion & for every bestie💓🏹🕶️🫰🏼

#stradivarius #stradilooks",one for every occasion & for every bestie💓🏹🕶️🫰🏼   ,21140,"['I loveeeeee this brand my lovely stradivarius😍😍😍', '😍😍😍', 'What a beauty ✨', '😍😍', '❤️❤️', '❤️❤️❤️❤️', '🔥🔥❤️❤️❤️', 'Autumn 🍂', 'Serena & Blair vibes', ""I bought a t-shirt in one of your shops and after the first week it looked like old and it got white stains when I washed it (to be clear, I didn't use chlorine and anything that could make it a damage). I feel disappointed because a like your dressings but your quality is not good"", 'Taylor & Dua', 'Serena & Blair \U0001fa77', 'Belinda y Ángela 😱', 'Scarlett johansson y Dualipa', 'Belinda y Ángela Aguilar', 'Taylor y la chica de Atypical', 'Belinda', 'Belinda????', 'Are you shipping to Reunion Island please ? @stradivarius', 'Nosotras este verano @sweetvalenka ❤️']","['I loveeeeee this brand my lovely stradivarius😍😍😍', '😍😍😍', 'What a beauty ✨', '😍😍', '❤️❤️', '❤️❤️❤️❤️', '🔥🔥❤️❤️❤️', 'Autumn 🍂', 'Serena & Blair vibes', 'I bought a t-shirt in one of your shops and after the first week it looked like old and it got white stains when I washed it (to be clear, I didnt use chlorine and anything that could make it a damage). I feel disappointed because a like your dressings but your quality is not good', 'Taylor & Dua', 'Serena & Blair \U0001fa77', 'Belinda y Ángela 😱', 'Scarlett johansson y Dualipa', 'Belinda y Ángela Aguilar', 'Taylor y la chica de Atypical', 'Belinda', 'Belinda????', 'Are you shipping to Reunion Island please ? ', 'Nosotras este verano  ❤️']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'neutral', 'negative', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
3391079431332413760,2024-06-15 16:16:31,"3 looks that never go wrong w/ @linasoophiee 🧺🫧🤠

#stradivarius #stradilooks", looks that never go wrong w/  🧺🫧🤠   ,4572,"['Skąd ta 3 sukienka szara ?', 'which dress is the 3rd one? 😍', 'Woooow😍', 'Love!!❤️❤️❤️', 'Love ❤️❤️❤️', '❤️', 'What a beauty ✨', 'Ein Träumchen! 😍', '🔥🔥❤️❤️', 'Esas botas son muy 🔥🔥🔥', 'Quaint 🏡', 'Vous avez un code promo pour les étudiants ???', 'Radiance 🌞', '@stradivarius  proszę o kontakt DM📩']","['Skąd ta  sukienka szara ?', 'which dress is the rd one? 😍', 'Woooow😍', 'Love!!❤️❤️❤️', 'Love ❤️❤️❤️', '❤️', 'What a beauty ✨', 'Ein Träumchen! 😍', '🔥🔥❤️❤️', 'Esas botas son muy 🔥🔥🔥', 'Quaint 🏡', 'Vous avez un code promo pour les étudiants ???', 'Radiance 🌞', '  proszę o kontakt DM📩']","['neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'neutral', 'positive', 'neutral']"
3390221067136193143,2024-06-14 11:53:03,"double fit check with the bestttttie🤝🏼💓🫧🎀

#stradivarius #stradilooks",double fit check with the bestttttie🤝🏼💓🫧🎀   ,3245,"['😍😍😍', '💗', 'I want to do this with you 😢❤️', '😍', '❤️❤️❤️', '😍', 'My beautiful job ❤️ I love our new products😍😍', '❤️', 'Love', 'Hey how can I avail my first order discount??', '❤️❤️❤️❤️', '❤️', '❤️❤️❤️❤️', 'Vous avez un code promo pour les étudiants please ???']","['😍😍😍', '💗', 'I want to do this with you 😢❤️', '😍', '❤️❤️❤️', '😍', 'My beautiful job ❤️ I love our new products😍😍', '❤️', 'Love', 'Hey how can I avail my first order discount??', '❤️❤️❤️❤️', '❤️', '❤️❤️❤️❤️', 'Vous avez un code promo pour les étudiants please ???']","['positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'neutral']"
3389628880149082482,2024-06-13 16:14:32,"new drops about STR teen are now out 💐🧺🪷🎀

#stradilooks #strteen",new drops about STR teen are now out 💐🧺🪷🎀   ,3997,"['😍😍', '😍', '😍😍😍', '😍😍😍🔥', 'Çalıştığınız kargo şirketinin Allah cezanın versin', '2/4', 'NO SOLO DELGADEZ ENFERMIZA , PERO  Mujer inmadura ?? 😢😢😮😮', 'Oigan nada que me devuelven el dinero ya van más de 70 días y en su página @stradivarius me tienen mi dinero refundido… den la cara SOLUCIONEN']","['😍😍', '😍', '😍😍😍', '😍😍😍🔥', 'Çalıştığınız kargo şirketinin Allah cezanın versin', '/', 'NO SOLO DELGADEZ ENFERMIZA , PERO  Mujer inmadura ?? 😢😢😮😮', 'Oigan nada que me devuelven el dinero ya van más de  días y en su página  me tienen mi dinero refundido… den la cara SOLUCIONEN']","['positive', 'positive', 'positive', 'positive', 'negative', 'neutral', 'negative', 'negative']"
3388888941522546216,2024-06-12 15:44:24,"5 ways to say summer is coming🌞🌾

#stradivarius #stradilooks", ways to say summer is coming🌞🌾   ,2621,"['Hola! Cuando pone “ corto y largo” en algunos modelos de los jeans d98 a que os referís? A que lo hay en pantalon corto/short ? Pues no lo encuentro por la web', '❤️❤️❤️❤️', '😍😍', '❤️❤️❤️', 'Please talk to you about my order. I have completed 7 days. I want to arrive before Eid.', '👏👏', 'Cuidado no reembolsan el dinero de los que compramos por su página', 'Mellifluous 🎵', '@stradivarius son unos inoperantes a hoy llevo más de 70 días esperando mi reembolso y nadie da la cara']","['Hola! Cuando pone “ corto y largo” en algunos modelos de los jeans d a que os referís? A que lo hay en pantalon corto/short ? Pues no lo encuentro por la web', '❤️❤️❤️❤️', '😍😍', '❤️❤️❤️', 'Please talk to you about my order. I have completed  days. I want to arrive before Eid.', '👏👏', 'Cuidado no reembolsan el dinero de los que compramos por su página', 'Mellifluous 🎵', ' son unos inoperantes a hoy llevo más de  días esperando mi reembolso y nadie da la cara']","['neutral', 'positive', 'positive', 'positive', 'negative', 'positive', 'negative', 'positive', 'negative']"
3388171393558506642,2024-06-11 15:58:46,"a crochet love story🧺🌾🌞

#strdivarius #stradilooks",a crochet love story🧺🌾🌞   ,6024,"['❤️', '❤️', 'We’re hooked😍😍', 'Gorgeous', 'Eso no es crochet!!!! Por que le mienten a la gente??? 🤦🏼\u200d♀️', '❤️\U0001faf6', 'Opalescent 🌈', '🔥🔥❤️❤️', '👍🏻😊', 'Que bueno sería ponerlos en conocimiento ante la SIC (Superintendencia de Industria y Comercio); para que dejen de engañar a los clientes.', 'Tranquility 🍃', '@stradivarius ,a la verdad q el servicio de ustedes es malo malo , un mes esperando q me resuelvan con mi orden , 30 día ya se mi compra y ni me envían y tampoco me reembolso , solo dicen estamos investigando ….30 días investigando , siempre la misma repuesta nada .,,, PÉSIMO SERVICIO , MALO MALO']","['❤️', '❤️', 'We’re hooked😍😍', 'Gorgeous', 'Eso no es crochet!!!! Por que le mienten a la gente??? 🤦🏼\u200d♀️', '❤️\U0001faf6', 'Opalescent 🌈', '🔥🔥❤️❤️', '👍🏻😊', 'Que bueno sería ponerlos en conocimiento ante la SIC (Superintendencia de Industria y Comercio); para que dejen de engañar a los clientes.', 'Tranquility 🍃', ' ,a la verdad q el servicio de ustedes es malo malo , un mes esperando q me resuelvan con mi orden ,  día ya se mi compra y ni me envían y tampoco me reembolso , solo dicen estamos investigando …. días investigando , siempre la misma repuesta nada .,,, PÉSIMO SERVICIO , MALO MALO']","['positive', 'positive', 'positive', 'positive', 'negative', 'positive', 'positive', 'positive', 'positive', 'negative', 'positive', 'negative']"
3387414845882310419,2024-06-10 14:56:03,"we are aware, don’t worry🫰🏼🤠

#stradivarius #stradilooks","we are aware, don’t worry🫰🏼🤠   ",3229,"['❤️❤️❤️❤️', '❤️❤️❤️', '💛', '😂', 'Amazing 😍', 'Awesome ✨', 'Rica etsem aynı gün teslim olacak olan (ekstra ücretle) ve ertesi gün de hala teslim edilmeyen kargomla ilgilenir misiniz?? Kimse yardımcı olmuyor ve kimse ilgilenmiyor. İletişim kurabileceğimiz kimseye ulaşamıyoruz. Bu kadar mağdur edemezsiniz size para kazandıran insanları 😡', 'It Looks like Man’s swimming shorts I don’t even look At them lol', 'Botas en verano es España como que no', '👍🏻😊']","['❤️❤️❤️❤️', '❤️❤️❤️', '💛', '😂', 'Amazing 😍', 'Awesome ✨', 'Rica etsem aynı gün teslim olacak olan (ekstra ücretle) ve ertesi gün de hala teslim edilmeyen kargomla ilgilenir misiniz?? Kimse yardımcı olmuyor ve kimse ilgilenmiyor. İletişim kurabileceğimiz kimseye ulaşamıyoruz. Bu kadar mağdur edemezsiniz size para kazandıran insanları 😡', 'It Looks like Man’s swimming shorts I don’t even look At them lol', 'Botas en verano es España como que no', '👍🏻😊']","['positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'negative', 'negative', 'negative', 'positive']"
3386845224686928870,2024-06-09 20:04:57,"which festival look suits you best? 🎡

#stradivarius #stradilooks",which festival look suits you best? 🎡   ,1904,"['Mi tienda favorita', 'Can you please make size 9 shoes for the big hoofed girlies? 😢', 'بینظیر😍😍', '🔥🔥🔥❤️❤️❤️', 'Que tiene de atractivo promover una moda vulgar?', '\U0001faf6🏻', '\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻']","['Mi tienda favorita', 'Can you please make size  shoes for the big hoofed girlies? 😢', 'بینظیر😍😍', '🔥🔥🔥❤️❤️❤️', 'Que tiene de atractivo promover una moda vulgar?', '\U0001faf6🏻', '\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻\U0001faf6🏻']","['positive', 'negative', 'positive', 'positive', 'negative', 'neutral', 'neutral']"
3386149718000302514,2024-06-08 21:02:03,"the essentials of summer🤝🏼🌞💐🍋

#stradivarius #stradilooks",the essentials of summer🤝🏼🌞💐🍋   ,3643,"['❤️', '😍😍', '❤️', 'Precioso']","['❤️', '😍😍', '❤️', 'Precioso']","['positive', 'positive', 'positive', 'positive']"
